GEOID,max_intensity,population,Total_Num_Building,BHI_factor_low,shelter_seeking_low,numerator_low,SVI_Value,SVI_Value_Mapped
6095252104,0.14,5981,1854.0,0.0343,20.514650000000003,3.35,0.098,0.1
6095252611,0.06,3607,659.0,0.0112,20.1266,0.39,0.8231,0.5
6097151305,0.06,5533,842.0,0.0121,20.050919999999998,0.54,0.6859,0.3
6097151307,0.06,5218,1544.0,0.0126,19.699559999999998,1.02,0.3036,0.3
6097153104,0.04,4093,954.0,0.0094,19.21815,0.47,0.9651,0.5
6095252703,0.06,4263,1065.0,0.0147,18.79194,0.82,0.71,0.3
6013359102,0.1,5496,1640.0,0.0114,18.78765,0.98,0.7543,0.3
6013359103,0.1,5269,1594.0,0.0115,18.10089,0.96,0.4612,0.3
6095252704,0.06,5325,1306.0,0.0113,18.015839999999997,0.78,0.797,0.3
6097153002,0.04,6578,1572.0,0.0053,17.59205,0.44,0.8731,0.5
6095252608,0.06,4190,822.0,0.0135,16.92105,0.58,0.7968,0.3
6013360102,0.12,4381,1673.0,0.0129,16.918439999999997,1.13,0.4107,0.3
6095252501,0.06,2870,794.0,0.0116,16.6957,0.49,0.9704,0.5
6013360101,0.1,4855,1825.0,0.0113,16.45029,1.08,0.6726,0.3
6095252314,0.06,4599,1336.0,0.011,15.12273,0.77,0.6082,0.3
6097152501,0.06,4396,1147.0,0.0112,14.83473,0.68,0.4828,0.3
6095252702,0.1,7039,2427.0,0.0042,14.6993,0.53,0.8983,0.5
6095253107,0.04,5999,1599.0,0.008,14.4027,0.67,0.641,0.3
6055200900,0.46,67,254.0,0.4276,14.3238,47.99,0.8607,0.5
6097150611,0.08,4180,903.0,0.0112,14.07681,0.53,0.2297,0.3
6013320001,0.08,3626,1619.0,0.0123,13.41303,1.05,0.5708,0.3
6097150610,0.06,3956,975.0,0.0108,12.87375,0.56,0.2585,0.3
6013318000,0.1,3442,1127.0,0.0117,12.040049999999999,0.69,0.5539,0.3
6095252316,0.06,3622,1114.0,0.0111,12.03912,0.65,0.4831,0.3
6013314103,0.04,5513,1074.0,0.0043,11.8174,0.24,0.9127,0.5
6095252306,0.06,3523,1189.0,0.0111,11.776319999999998,0.7,0.4141,0.3
