GEOID,max_intensity,population,Total_Num_Building,risk_level,BHI_factor_low,shelter_seeking_low
06095253205,0.04,3091,841.0,low,0.0,0.0148
06095253203,0.04,4179,1350.0,low,0.0001,0.6239
06095253201,0.04,4821,1888.0,low,0.0002,0.9558
06097152906,0.04,6084,2847.0,low,0.0,0.0181
06081606000,0.04,5242,579.0,low,0.0001,0.5678
06095253107,0.04,5999,1599.0,low,0.0004,2.5269
06095253106,0.04,3427,864.0,low,0.0001,0.3268
06095253105,0.04,6489,1286.0,low,0.0,0.1499
06095253000,0.04,6640,145.0,low,0.0001,0.9085
06095252915,0.04,6318,1560.0,low,0.0,0.0108
06095980000,0.04,4,210.0,low,0.0002,0.0008
06081606100,0.04,4380,1193.0,low,0.0,0.009
06081606300,0.04,4159,858.0,low,0.0,0.0159
06095252802,0.04,1472,285.0,low,0.0001,0.1678
06095252801,0.04,2635,676.0,low,0.0001,0.25
06097152000,0.04,2168,471.0,low,0.0002,0.4256
06081608002,0.04,3728,785.0,low,0.0,0.0066
06097152100,0.04,2804,866.0,low,0.0005,1.4049
06081604600,0.04,2808,1014.0,low,0.0,0.0051
06097152201,0.04,3839,1153.0,low,0.0001,0.4385
06081603900,0.04,5590,1651.0,low,0.0,0.0122
06097152801,0.04,4526,1264.0,low,0.0,0.0472
06097152702,0.04,5007,1507.0,low,0.0,0.0917
06097152701,0.04,5122,1692.0,low,0.0,0.1805
06081604102,0.04,3565,185.0,low,0.0,0.0184
06095252904,0.04,8478,3582.0,low,0.0,0.2257
06095252908,0.04,3825,944.0,low,0.0,0.0078
06081604200,0.04,4197,1089.0,low,0.0,0.0122
06081604400,0.04,5287,949.0,low,0.0001,0.6614
06081604500,0.04,3648,1235.0,low,0.0,0.0067
06081604000,0.04,3314,1213.0,low,0.0,0.0063
06081604700,0.04,2879,961.0,low,0.0,0.0176
06097152300,0.04,4153,1693.0,low,0.0001,0.3953
06097152903,0.04,5185,993.0,low,0.0,0.0215
06081604800,0.04,5207,1157.0,low,0.0,0.0224
06081604900,0.04,3387,1026.0,low,0.0,0.0062
06081605000,0.04,8603,2299.0,low,0.0,0.0185
06097152203,0.04,3628,1312.0,low,0.0001,0.5301
06097152904,0.04,5366,1635.0,low,0.0,0.011
06067004203,0.02,5889,1155.0,low,0.0,0.022
06067009317,0.02,7182,1905.0,low,0.0,0.0136
06067008913,0.02,4320,1253.0,low,0.0,0.0001
06067004202,0.02,5774,1432.0,low,0.0,0.0214
06067004402,0.02,4343,1331.0,low,0.0,0.008
06067004501,0.02,3643,976.0,low,0.0,0.0197
06067004502,0.02,5362,1295.0,low,0.0001,0.3832
06067009318,0.02,2497,734.0,low,0.0,0.005
06067009319,0.02,5588,1487.0,low,0.0,0.0099
06067009316,0.02,4915,1285.0,low,0.0,0.0307
06067009314,0.02,6350,1567.0,low,0.0,0.0005
06067004401,0.02,4431,1375.0,low,0.0,0.009
06067009004,0.02,4041,1174.0,low,0.0,0.008
06067005701,0.02,3175,1420.0,low,0.0,0.007
06067009005,0.02,3511,1162.0,low,0.0,0.0031
06067009321,0.02,5975,1798.0,low,0.0,0.1617
06067004904,0.02,6468,1782.0,low,0.0,0.0121
06067005606,0.02,4461,1732.0,low,0.0,0.017
06067004201,0.02,5564,1710.0,low,0.0,0.0161
06067004602,0.02,5663,1173.0,low,0.0,0.092
06067004802,0.02,4958,1207.0,low,0.0,0.0101
06067009006,0.02,5649,1740.0,low,0.0001,0.473
06067009320,0.02,4688,1311.0,low,0.0,0.0089
06067004801,0.02,6041,1635.0,low,0.0,0.2216
06067004702,0.02,5050,1142.0,low,0.0,0.01
06067004701,0.02,3895,658.0,low,0.0,0.0092
06067009312,0.02,7749,1799.0,low,0.0,0.0001
06067004100,0.02,5459,1495.0,low,0.0,0.0193
06067009111,0.02,5800,1420.0,low,0.0,0.0115
06067009109,0.02,4875,1616.0,low,0.0,0.0088
06067009108,0.02,3800,1219.0,low,0.0,0.0163
06067009107,0.02,3361,1001.0,low,0.0,0.0067
06067009106,0.02,4247,1096.0,low,0.0,0.0088
06067003600,0.02,2728,1168.0,low,0.0,0.0067
06067008910,0.02,3768,1056.0,low,0.0,0.0072
06067009105,0.02,2905,739.0,low,0.0,0.0062
06067009103,0.02,3472,913.0,low,0.0,0.0076
06067003502,0.02,3034,1373.0,low,0.0,0.011
06067003501,0.02,2760,1242.0,low,0.0,0.0104
06067003400,0.02,4335,1770.0,low,0.0,0.0083
06067009007,0.02,3084,574.0,low,0.0,0.0083
06067009008,0.02,5143,1195.0,low,0.0,0.0001
06067009010,0.02,6018,1185.0,low,0.0,0.0002
06067009011,0.02,5547,1752.0,low,0.0,0.0001
06067009110,0.02,1873,182.0,low,0.0,0.0093
06067009112,0.02,3690,961.0,low,0.0,0.0074
06067004012,0.02,3338,1039.0,low,0.0,0.0065
06067003700,0.02,4611,1519.0,low,0.0,0.0086
06067004011,0.02,3185,986.0,low,0.0,0.0063
06067004008,0.02,3665,1408.0,low,0.0,0.0061
06067004006,0.02,5175,1367.0,low,0.0,0.0191
06067004005,0.02,4418,1380.0,low,0.0,0.0086
06067003900,0.02,3598,1404.0,low,0.0,0.0069
06067003800,0.02,5348,1825.0,low,0.0,0.0095
06067009311,0.02,6750,1881.0,low,0.0,0.0003
06067009310,0.02,7303,2348.0,low,0.0,0.0001
06067009309,0.02,2424,906.0,low,0.0,0.1031
06067009308,0.02,6197,1817.0,low,0.0,0.0126
06067009307,0.02,5436,1453.0,low,0.0,0.0001
06067009201,0.02,6781,3150.0,low,0.0,0.0055
06067008911,0.02,2434,444.0,low,0.0,0.0291
06067008909,0.02,2481,662.0,low,0.0,0.0047
06067009323,0.02,5605,1428.0,low,0.0,0.0108
06067007013,0.02,3015,796.0,low,0.0,0.0091
06067007016,0.02,5971,1485.0,low,0.0,0.0098
06067007017,0.02,2986,1135.0,low,0.0,0.0149
06067005505,0.02,5619,1170.0,low,0.0,0.0156
06067005506,0.02,3410,584.0,low,0.0,0.0128
06067005508,0.02,3491,590.0,low,0.0,0.0111
06067005403,0.02,2234,840.0,low,0.0,0.0047
06067005402,0.02,3272,543.0,low,0.0,0.0521
06067005801,0.02,5335,1804.0,low,0.0,0.0098
06067005509,0.02,2008,158.0,low,0.0,0.0077
06067007011,0.02,6494,1294.0,low,0.0,0.0529
06067005510,0.02,5238,585.0,low,0.0,0.0194
06067005301,0.02,5508,571.0,low,0.0,0.0259
06067005205,0.02,3096,1189.0,low,0.0001,0.1699
06067005601,0.02,6136,1505.0,low,0.0,0.0162
06067005605,0.02,3758,1029.0,low,0.0,0.0083
06067005204,0.02,4900,1850.0,low,0.0,0.0247
06067005202,0.02,3513,1104.0,low,0.0,0.0067
06067007019,0.02,2815,569.0,low,0.0,0.0213
06067007020,0.02,4225,1286.0,low,0.0,0.0078
06067007101,0.02,218,270.0,low,0.0,0.0049
06067007012,0.02,3605,1078.0,low,0.0,0.0067
06067005502,0.02,6031,1431.0,low,0.0,0.0181
06067008905,0.02,4912,1326.0,low,0.0,0.0001
06067006202,0.02,4319,1215.0,low,0.0,0.0727
06067005803,0.02,3731,1470.0,low,0.0,0.0068
06067005804,0.02,2659,910.0,low,0.0,0.0053
06067005901,0.02,6722,2001.0,low,0.0,0.0126
06067005903,0.02,2996,451.0,low,0.0,0.0086
06067005904,0.02,5348,1621.0,low,0.0,0.0207
06067006002,0.02,5309,1437.0,low,0.0,0.0137
06067006003,0.02,5029,1116.0,low,0.0,0.0117
06067006004,0.02,2626,1004.0,low,0.0,0.0047
06067006101,0.02,5500,1559.0,low,0.0,0.1041
06067006102,0.02,4047,842.0,low,0.0,0.0101
06067006300,0.02,5262,1817.0,low,0.0,0.0238
06067007010,0.02,4015,810.0,low,0.0,0.0143
06067006400,0.02,5918,2183.0,low,0.0,0.1589
06067006600,0.02,7103,2040.0,low,0.0,0.0388
06067005404,0.02,6080,2053.0,low,0.0,0.014
06067007001,0.02,4493,1346.0,low,0.0,0.0702
06067007007,0.02,5691,1467.0,low,0.0,0.0265
06067007103,0.02,4058,786.0,low,0.0,0.0097
06067005201,0.02,4645,250.0,low,0.0,0.0215
06067007701,0.02,7420,1636.0,low,0.0,0.0176
06067007430,0.02,8078,1772.0,low,0.0,0.0001
06067007431,0.02,3613,968.0,low,0.0,0.006
06067004906,0.02,3279,975.0,low,0.0,0.1504
06067007432,0.02,5236,1134.0,low,0.0,0.0001
06067007501,0.02,7168,1375.0,low,0.0,0.0006
06067007503,0.02,5605,1014.0,low,0.0,0.0236
06067007504,0.02,2256,859.0,low,0.0,0.0068
06067007602,0.02,5108,1412.0,low,0.0,0.0113
06067007702,0.02,4855,1427.0,low,0.0,0.0102
06067005102,0.02,4632,1626.0,low,0.0001,0.3584
06067007801,0.02,5807,1928.0,low,0.0,0.0001
