CENSUSCODE,OTHER_OTHER,OTHER_SINGLE FAMILY,RESIDENTIAL_MULTI FAMILY,RESIDENTIAL_OTHER,RESIDENTIAL_SINGLE FAMILY
22033000200,353,0,79,7,1683
22033000300,136,0,0,1,533
22033000400,151,0,0,2,1057
22033000500,331,0,0,12,1276
22033000601,99,0,0,12,1111
22033000602,203,0,0,5,1553
22033000701,183,0,0,7,628
22033000702,262,0,1,6,984
22033000900,286,0,0,9,1517
22033001000,249,0,0,8,1155
22033001102,456,0,7,3,454
22033001103,174,0,0,1,791
22033001104,300,0,41,1,223
22033001600,290,0,19,15,1233
22033001700,477,0,16,17,1796
22033001800,196,0,16,10,687
22033001900,196,0,12,1,1191
22033002000,392,0,32,4,1402
22033002200,141,0,2,12,482
22033002300,141,0,7,5,1267
22033002400,191,0,5,8,612
22033002500,175,0,16,13,826
22033002601,196,0,21,9,1715
22033002602,371,0,22,12,1283
22033002700,128,0,0,1,629
22033002801,354,0,0,0,97
22033002802,292,0,2,2,74
22033003000,2649,0,13,19,687
22033003104,592,0,5,78,1357
22033003201,203,0,4,0,1520
22033003202,171,0,0,29,1832
22033003300,415,0,1,14,1339
22033003400,393,0,1,10,1985
22033003501,252,0,15,18,974
22033003504,123,0,1,58,2162
22033003505,351,0,13,14,1323
22033003506,644,0,0,5,2318
22033003507,202,0,0,8,1991
22033003601,542,0,3,0,1106
22033003603,120,0,47,7,656
22033003604,328,0,32,4,1186
22033003701,221,0,3,3,2205
22033003702,87,0,1,3,1194
22033003703,140,0,17,2,2307
22033003804,296,0,115,10,1219
22033003806,397,0,72,5,892
22033003807,236,0,77,8,766
22033003808,187,0,45,17,402
22033003809,292,0,24,10,1013
22033003810,208,0,64,4,1087
22033003811,209,0,14,0,1096
22033003907,271,0,8,13,1480
22033003908,505,0,21,7,1415
22033003909,355,0,23,2,1041
22033003910,495,0,35,0,261
22033003911,42,0,29,0,1282
22033003912,160,0,61,0,275
22033003913,184,0,6,1,1875
22033003914,229,0,36,17,1031
22033004010,110,0,0,7,2058
22033004013,92,0,117,3,442
22033004017,159,0,8,7,1483
22033004018,119,0,7,0,697
22033004019,63,0,27,2,1670
22033004020,301,0,37,26,1441
22033004021,245,0,26,56,1225
22033004022,1297,0,18,5,1403
22033004023,70,0,76,0,86
22033004024,164,0,62,24,666
22033004025,136,0,0,7,810
22033004026,478,0,24,4,2528
22033004027,141,0,0,0,1132
22033004028,133,0,22,1,799
22033004029,133,0,5,0,1156
22033004030,264,0,10,2,832
22033004031,643,0,32,8,1004
22033004201,400,0,75,27,2047
22033004203,478,0,0,113,1095
22033004204,325,0,8,92,1270
22033004205,252,0,2,4,1879
22033004301,527,0,0,441,3360
22033004302,277,0,0,351,2765
22033004401,722,0,0,53,2523
22033004402,360,0,12,54,2588
22033004403,240,0,0,26,2696
22033004503,344,0,5,12,2139
22033004504,509,0,2,5,2041
22033004507,177,0,17,0,1894
22033004509,589,0,15,11,2491
22033004511,245,0,62,2,1091
22033004512,79,0,2,2,879
22033004513,98,0,0,3,1843
22033004514,38,0,0,0,1251
22033004515,164,0,0,57,2015
22033004516,139,0,26,23,1498
22033004602,808,0,0,276,2362
22033004603,880,0,1,139,1811
22033004605,214,0,0,161,2766
22033004606,180,0,1,31,1939
22033004700,751,0,0,642,2857
22033004800,117,0,64,10,708
22033004900,115,0,9,0,1919
22033005000,61,0,0,1,1498
22033005100,492,0,4,16,832
22033005200,356,0,10,14,714
22033005300,400,0,3,21,855
22033980000,94,0,0,0,0
22035000100,627,0,21,193,1028
22035000200,930,0,0,154,787
22035000300,230,0,41,169,564
22037951300,832,0,6,393,1285
22037951400,645,0,1,283,1282
22037951501,289,0,0,104,544
22037951502,1197,0,1,545,2056
22037951600,1132,0,3,574,2090
22039950101,760,0,0,205,1047
22039950102,561,0,1,483,1094
22039950200,411,0,0,221,805
22039950301,238,0,0,198,472
22039950302,897,0,0,343,1416
22039950401,343,0,27,550,593
22039950402,579,0,4,264,1347
22039950500,352,0,0,615,428
22039950600,1083,0,56,253,268
22039950700,929,0,6,144,1861
22039950800,835,0,2,353,1942
22041950100,833,0,0,551,2120
22041950200,899,0,0,578,1983
22041950300,805,0,103,169,1700
22041950400,771,0,0,320,1391
22041950500,527,0,0,302,926
22041950600,447,0,32,169,967
22043020100,1188,0,0,258,682
22043020200,1441,0,0,535,906
22043020300,900,0,6,178,824
22043020403,566,0,2,586,1689
22043020404,547,0,9,249,883
22043020405,1528,0,0,70,182
22043020406,1005,0,0,257,530
22045030101,1337,0,2,4,1421
22045030102,466,0,0,4,877
22045030201,612,0,0,2,1256
22045030202,921,0,1,2,1798
22045030301,1127,0,0,67,1107
22045030303,763,0,0,84,1403
22045030304,620,0,0,17,1037
22045030401,1490,0,0,14,1872
22045030402,770,0,21,11,1115
22045030500,783,0,22,1,1141
22045030601,172,0,0,0,771
22045030602,610,0,0,2,1852
22045030700,529,0,0,1,1318
22045030800,507,0,0,0,326
22045030900,488,0,24,1,595
22045031000,801,0,1,1,508
22045031101,594,0,14,5,637
22045031102,684,0,0,1,455
22045031200,747,0,1,1,1101
22045031301,1062,0,0,0,1805
22045031302,377,0,20,0,645
22045031600,980,0,0,0,1284
22045990000,8,0,0,0,0
22047952600,441,0,0,98,1337
22047952701,488,0,0,141,1555
22047952702,419,0,0,23,1352
22047952901,594,0,0,287,1330
22047952902,208,0,0,67,1057
22047953000,378,0,0,70,1106
22047953101,190,0,0,28,2357
